,title,url,rate,teach_rate,new_carr,advent,earn_more,level,lang,exec_time,chap_cnt,course_dur,chap_avg_dur,edu_name
757,"Functions, Methods, and Interfaces in Go",https://ru.coursera.org/learn/golang-functions-methods,4.6,4.59,,33.0,25.0,2.0,2.0,,4,720,180.0,Калифорнийский университет в Ирвайне
758,Concurrency in Go,https://ru.coursera.org/learn/golang-concurrency,4.6,4.67,17.0,11.0,,2.0,2.0,,4,720,180.0,Калифорнийский университет в Ирвайне
759,Введение в философию,https://ru.coursera.org/learn/philosophy,4.7,4.67,42.0,28.0,,,2.0,,5,420,84.0,Эдинбургский университет
760,Управление компанией будущего,https://ru.coursera.org/learn/company-future-management,4.8,4.91,67.0,38.0,,,2.0,,5,660,132.0,Лондонский университет
761,Marketing Digital,https://ru.coursera.org/learn/estrategia-marketing-digital,4.8,4.75,55.0,62.0,,1.0,,,5,960,192.0,Университет Сан-Паулу
762,Foundations for Big Data Analysis with SQL,https://ru.coursera.org/learn/foundations-big-data-analysis-sql,4.8,4.82,,,,1.0,2.0,,5,720,144.0,Cloudera
763,Analyzing Big Data with SQL,https://ru.coursera.org/learn/cloudera-big-data-analysis-sql-queries,4.9,4.88,,,,1.0,2.0,,6,1140,190.0,Cloudera
764,Managing Big Data in Clusters and Cloud Storage,https://ru.coursera.org/learn/cloud-storage-big-data-analysis-sql,4.7,4.77,,,,1.0,2.0,,5,1260,252.0,Cloudera
765,Digital Transformations,https://ru.coursera.org/learn/digital-transformations?specialization=business-technology-managment,4.7,4.86,12.0,21.0,,1.0,2.0,,4,1080,270.0,Индийская школа бизнеса
766,Business Analytics and Digital Media,https://ru.coursera.org/learn/business-analytics?specialization=business-technology-managment,4.3,4.28,,50.0,,1.0,2.0,,4,480,120.0,Индийская школа бизнеса
767,Accounting and Finance for IT professionals,https://ru.coursera.org/learn/accounting-finance?specialization=business-technology-managment,4.5,4.52,,,,1.0,2.0,,4,360,90.0,Индийская школа бизнеса
768,IT Project Management,https://ru.coursera.org/learn/it-project-management?specialization=business-technology-managment,4.4,4.12,56.0,33.0,,1.0,2.0,,4,540,135.0,Индийская школа бизнеса
769,Patient Safety and Quality Improvement: Developing a Systems View (Patient Safety I),https://ru.coursera.org/learn/patient-safety-systems-view?specialization=patient-safety,4.8,4.68,20.0,29.0,18.0,2.0,2.0,,4,360,90.0,Университет Джонса Хопкинса
770,Setting the Stage for Success: An Eye on Safety Culture and Teamwork (Patient Safety II),https://ru.coursera.org/learn/patient-safety-culture?specialization=patient-safety,4.8,4.45,25.0,29.0,,,2.0,,4,480,120.0,Университет Джонса Хопкинса
771,Planning a Patient Safety or Quality Improvement Project (Patient Safety III),https://ru.coursera.org/learn/patient-safety-project-planning?specialization=patient-safety,4.7,4.59,,,,,2.0,,4,360,90.0,Университет Джонса Хопкинса
